id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
25376091,2 Bedroom  city apartment in the heart of Pilsen,42027768,Vilma,,Lower West Side,41.85397,-87.67053,Entire home/apt,91,1,66,2020-08-23,2.37,2,169
30817507,Hotel Quality Meets Local Living Garden Studio 3D,16090300,John,,West Town,41.90243,-87.67133,Hotel room,140,1,1,2020-06-25,0.34,10,132
31567604,Spacious 1 BR close by Chicago downtown,128896180,Povilas,,Lower West Side,41.85728,-87.64851,Private room,50,1,97,2020-08-10,4.79,2,89
21783531,❤️ Sophisticated River West 2 Bedroom - Near the L,155409587,Drew,,West Town,41.89037,-87.64994,Entire home/apt,159,3,132,2020-09-17,3.84,1,351
18735316,Private Large bedroom in 5bed/3ba penthouse,66275798,Carol,,Hyde Park,41.80076,-87.59991,Private room,65,3,39,2020-03-07,0.97,3,137
43368754,Blue Queen Bed Bedroom in Well-Designed Condo,277460072,Arsène,,Washington Park,41.7865,-87.61582,Private room,60,28,0,,,10,266
38045144,Elegant Loft Close to Downtown Chicago! Near UIC!,288686625,Jonta,,Englewood,41.79281,-87.63315,Entire home/apt,99,1,0,,,1,365
18560208,"Cozy private unit near transit, dining & nightlife",7497823,Justin,,Logan Square,41.91918,-87.68895,Entire home/apt,59,2,141,2019-12-12,4.61,1,0
38267762,Private room by Chinatown/McCormick-free parking,164127363,Giang,,Bridgeport,41.84542,-87.64735,Private room,30,1,10,2019-11-22,0.8,2,0
43324402,﻿★　４０％　Ｏｆｆ！　ＣＤＣ　Ｃｌｅａｎｅｄ　★　Ｐｅｎｔｈｏｕｓｅ　＠　Ｄｏｗｎｔｏｗｎ！　➟　Ｕｎｉｔ　３,59802916,True North,,Loop,41.87205,-87.62895,Entire home/apt,146,1,0,,,11,191
31044604,Elegant 2-room bedroom suite in vintage apartment,23503681,Francesca,,Lincoln Square,41.96538,-87.67995,Private room,82,1,2,2019-09-16,0.11,4,1
26402837,"Cozy private room /Blue Line ,Metra train /",40425145,Grace,,Irving Park,41.9593,-87.73145,Private room,50,3,26,2020-07-20,0.97,3,361
16604031,Simple Room 0.3 mi from Logan Square Blue Line,61536277,Zichen,,Avondale,41.93558,-87.7092,Private room,60,2,7,2020-02-22,0.53,1,170
20456769,Joyful space at 606 running trail; home w/ Husky,77184578,Christine,,West Town,41.91366,-87.67765,Private room,38,1,4,2020-03-15,0.11,1,0
42566731,"The Robey, Urban King Accessible",317101665,The Robey Hotel,,West Town,41.91142,-87.67735,Private room,7000,1,0,,,8,365
37214052,Humbolt Park Weekender,4476754,Kyle,,Humboldt Park,41.90292,-87.71029,Private room,55,2,8,2019-10-23,0.61,1,0
27927847,Beautiful Chicago Condo with a Spectacular View!,59180983,Benjamin,,Near North Side,41.89119,-87.62757,Entire home/apt,199,1,11,2019-07-21,0.44,1,0
43231681,"15- Pershing Inn 2B1B- By bus, restaurant, gym",34191427,Sonia,,Brighton Park,41.82407,-87.68751,Entire home/apt,55,3,1,2020-05-22,0.24,5,310
27359639,Center of Lincoln Park/Depaul/Wrigley+ parking!,153282233,Justin,,Lincoln Park,41.91924,-87.6525,Entire home/apt,137,1,192,2020-09-07,7.55,2,168
38733447,Gold Coast (Downtown) Chicago  Covid precautions,296208054,Ferdousi,,Near North Side,41.89735,-87.62962,Private room,45,1,39,2020-09-15,3.2,3,168
21612957,BEST LOCATION EVER!WRIGLEY - BOYSTOWN - LAKEVIEW 4,154630260,Ody,,Lake View,41.94556,-87.65017,Shared room,80,1,3,2017-11-11,0.09,18,0
9113705,Sunny Condo Near Lake with Deck,47493046,Nina,,Uptown,41.95604,-87.65052,Entire home/apt,90,2,31,2019-07-01,0.54,1,0
19658119,Millennium Park View Luxury Apartment,32541943,Demi,,Loop,41.88413,-87.62375,Private room,85,1,4,2017-07-29,0.1,1,0
35418949,Walk everywhere! Simple apartment in Gold Coast!,266565310,Mark,,Near North Side,41.89988,-87.63249,Entire home/apt,120,2,1,2019-07-03,0.07,1,0
25488429,Charming E. Garfield Park Row Home Apartment,192365041,Dusty,,East Garfield Park,41.88608,-87.70517,Entire home/apt,100,1,27,2019-11-10,0.97,1,0
15735536,Cozy Family Friendly  Home in Chicago (Galewood),25553049,Emily,,Austin,41.91183,-87.78889,Entire home/apt,140,3,22,2020-07-14,0.47,2,113
19984762,Private bedroom in Lincoln Park/Caroline’s room,139094281,Lynne,,Lincoln Park,41.91516,-87.65398,Private room,63,1,94,2020-03-15,2.46,3,56
36485597,"Bright, cozy, stylish apartment in the City",263962127,Sohchin,,Avondale,41.9359,-87.69099,Entire home/apt,127,2,23,2020-03-15,1.61,1,179
6729727,Classic Chicago Greystone Apt. ( Support a Cause),35241159,Oliver,,Uptown,41.97002,-87.65677,Private room,72,1,147,2020-03-14,2.29,2,261
27923148,Serenity & Coziness | Lincoln Park Garden Loft,210924870,Sophie,,Lincoln Park,41.93165,-87.64729,Entire home/apt,109,1,98,2020-09-14,3.95,1,356
29919180,R2 Lincoln Park Historic Landmark 1 Bedroom,23612069,Tj,,Lincoln Park,41.92914,-87.64067,Entire home/apt,82,1,109,2020-09-13,4.86,15,87
15008013,"Cozy, 2 Bdrm Wicker Park Apt",17055607,Cathy,,West Town,41.91078,-87.68635,Entire home/apt,99,3,3,2017-09-24,0.06,1,0
17995629,Cozy Fall Weekend Specials!,121584173,Sally,,Austin,41.86825,-87.77421,Entire home/apt,72,2,35,2020-09-07,0.87,1,300
24234071,2、Home  in Chicago one bedrooms,181872158,Henry,,Brighton Park,41.81888,-87.69721,Shared room,39,1,0,,,2,0
19118210,SUITE HOME CHICAGO  Your Own Private Floor!,55340110,Elizabeth,,Irving Park,41.955,-87.71299,Private room,63,1,94,2019-10-21,2.38,1,41
24754767,The Evergreen House,77144943,Shawn,,Portage Park,41.94247,-87.75971,Entire home/apt,83,3,76,2020-06-30,2.64,1,0
45250676,Month to Month FULLY FURNISHED Rental in Old Town,170785489,Dmd,,Near North Side,41.91047,-87.63312,Entire home/apt,90,30,0,,,31,89
31056855,"Modern, Quiet, Priv Bath, Free Parking & Breakfast",1737240,Alex,,North Center,41.95337,-87.69098,Private room,70,1,33,2019-11-05,1.55,1,0
41178578,Good Time Little Place,175785054,Marco,,Lower West Side,41.85333,-87.66896,Entire home/apt,180,2,1,2020-03-15,0.16,1,90
44608480,Updated Vintage Yellow Stone,17739188,Lori,,Grand Boulevard,41.81074,-87.62208,Entire home/apt,543,3,0,,,3,362
38870766,"Free parking, 2 blocks from train, 2 bedroom aprtm",59484991,Jady And,,South Lawndale,41.85177,-87.70175,Entire home/apt,67,1,43,2020-09-12,3.66,1,177
37157210,Vibrant Condo Style 2BDR Near Midway Airport,147648729,Mel,,Ashburn,41.74562,-87.70373,Entire home/apt,120,2,12,2020-03-31,0.87,5,174
32050697,"Brick boutique w gym in Chicago Center, Pets OK",62066342,Rafaello,,Near North Side,41.88967,-87.63619,Entire home/apt,69,90,0,,,5,347
12950970,Rent room in a modern Condo,10613587,Saurin,,West Town,41.89324,-87.65993,Private room,76,2,98,2020-08-23,1.85,4,132
42498830,Spacious 1 bedroom,338114816,Elaine,,Near North Side,41.89515,-87.63475,Entire home/apt,82,5,0,,,1,87
27966419,Kasa | Chicago | Alluring 2BD/2BA South Loop Apartment,88566861,Kasa,,Loop,41.86915,-87.63056,Entire home/apt,173,2,47,2020-09-08,1.91,45,339
45250313,"Loop 2BR w/ Gym, Doorman, walk to L & Parks, by Blueground (CHI 319)",107434423,Blueground,,Loop,41.87723,-87.62901,Entire home/apt,192,30,0,,,205,337
13505037,South Loop/McCormick Entire Apt 1br,71097049,Michael,,Near South Side,41.86061,-87.62267,Entire home/apt,150,4,64,2020-03-02,1.25,1,179
37942661,Comfortable Vintage North Side Retreat for 8,240272630,David,,North Center,41.95979,-87.67907,Entire home/apt,134,3,26,2020-09-16,2.06,2,348
21169118,Greystone Haven in Logan Square,16027807,Miriam,,Logan Square,41.92395,-87.71211,Entire home/apt,119,2,174,2020-09-16,5.32,2,76
24408754,2 queen bedrooms near blue line,38405611,Paxton,,West Town,41.90584,-87.69185,Private room,79,1,12,2020-02-16,0.41,1,233
38615966,Beautiful cozy studio,183258122,Santiago,,New City,41.79449,-87.66167,Private room,39,3,2,2019-12-31,0.18,7,324
34946904,Kasa | Chicago | Central 2BD/2BA South Loop Apartment,88566861,Kasa,,Loop,41.8692,-87.6319,Entire home/apt,196,2,36,2020-09-06,2.36,45,344
13940726,"Lights, Camera, Action! Studio Space for Artists!",26957265,Beth,,West Town,41.89099,-87.68188,Entire home/apt,250,1,0,,,4,324
24034913,Charming Room in Beautiful Vintage Building!!,67794898,Isaac,,West Town,41.89823,-87.68656,Private room,71,2,51,2020-08-31,1.8,1,89
5645139,Vintage Uptown Loft with Queen Bed & Private Bath,13195824,Amy,,Uptown,41.96834,-87.65851,Private room,73,3,132,2020-09-11,2.03,1,364
